"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\projects\level 2\room-reserve-server\dist\app\modules\Slots\Slots.model.js", "JavaScript", 0, 0, 0, 0, 59, 0, 5, 1, 65
"c:\projects\level 2\room-reserve-server\dist\app\modules\Slots\Slots.route.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\projects\level 2\room-reserve-server\dist\app\modules\Slots\Slots.service.js", "JavaScript", 0, 0, 0, 0, 115, 0, 14, 1, 130
"c:\projects\level 2\room-reserve-server\dist\app\modules\Slots\Slots.validation.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.controller.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 1, 55
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.interface.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.model.js", "JavaScript", 0, 0, 0, 0, 85, 0, 7, 1, 93
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.route.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.service.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.services.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\projects\level 2\room-reserve-server\dist\app\modules\User\User.validation.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\projects\level 2\room-reserve-server\dist\app\routes\index.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 1, 47
"c:\projects\level 2\room-reserve-server\dist\app\utils\catchAsync.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\projects\level 2\room-reserve-server\dist\app\utils\cronJobs.js", "JavaScript", 0, 0, 0, 0, 43, 0, 2, 1, 46
"c:\projects\level 2\room-reserve-server\dist\app\utils\sendResponse.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 1, 14
